name,nace.code
Zemědělství,01
Lesnictví a těžba dřeva,02
Rybolov a akvakultura ,03
Těžba a úprava čer. a hněd. uhlí ,05
Těžba ropy a zemního plynu,06
Těžba a úprava rud,07
Ostatní těžba a dobývání,08
Podpůrné činnosti při těžbě,09
Výroba potravinář-ských výrobků,10
Výroba nápojů,11
Výroba tabákových výrobků,12
Výroba textilií ,13
Výroba oděvů,14
Výroba usní a souvisejí-cích výrobků ,15
"Zprac. dřeva, vý. dřev., kork., prout. a slam. výr., kromě nábytku",16
Výroba papíru a výrobků z papíru,17
Tisk a rozmnož. nahraných nosičů,18
Výroba koksu a raf. ropných produktů ,19
Výroba chem. látek a chem. přípravků,20
Výroba základních farmac. výr. a přípravků,21
Výroba pryž. a plast. výrobků,22
Výroba ost. nekov. minerálních výrobků,23
"Výr. zákl. kovů, hutní zprac. kovů;slévár.",24
"Výr. kov. konstrukcí a kovoděl-ných výr., kromě strojů a zařízení",25
"Výroba počítačů, elektron. a optic. příst. a zař.",26
Výroba elektrických zařízení,27
Výroba strojů a zařízení j. n.,28
"Výroba motor. vozidel (kromě motocyklů), přívěsů a návěsů",29
Výroba ostatních dopravních prostředků a zařízení,30
Výroba nábytku,31
Ostatní zpracovatel-ský průmysl,32
Opravy a instalace strojů a zařízení,33
"Výroba a rozvod elektřiny, plynu, tepla a klim. vzduchu",35
"Shromažďo-vání, úpr. a rozvod vody ",36
"Činnosti související s odpadními vodami; shromažďování, sběr a odstraň. odpadů, úprava odpadů k dalšímu využití; sanace a jiné činnosti související s odpady",37+38+39
Výstavba budov,41
Inženýrské stavitelství,42
Specializo-vané stavební činnosti ,43
"Velkoob., maloob. a opravy mot. vozidel ",45
"Velkoob., kromě motorových vozidel; maloob., kromě motorových vozidel ",46+47
Pozemní a potrubní doprava,49
Vodní doprava,50
Letecká doprava,51
Skladování a vedlejší činnosti v dopravě,52
Poštovní a kurýrní činnosti,53
Ubytování,55
Stravování a pohostinství,56
Vydavatelské činnosti,58
"Činnosti v oblasti filmů, tel. progr. a videoz., poř. zvuk. nahrávek a hud. vydavatelské činnosti",59
Tvorba programů a vysílání,60
Telekomuni-kační činnosti,61
Činnosti v oblasti infor. technologií,62
Informační činnosti,63
"Fin. zprostředko-vání, kromě pojišť. a penz. fin.",64
"Pojištění, zajištění a penz. fin., kromě povin. soc. zabezpečení",65
Ostatní finanční činnosti,66
Činnosti v oblasti nemovitostí,68
Právní a účetnické činnosti,69
Činnosti ved. podniků; porad. v oblasti říz.,70
Architekt. a inž. čin.; tech. zk. a analýzy,71
Výzkum a vývoj,72
Reklama a průzkum trhu,73
"Ostatní profesní, věd. a tech. činnosti",74
Veterinární činnosti,75
Činn. v obl. pronájmu a operat. leasingu,77
Činnosti související se zaměstnáním,78
"Činn. cest. agentur, kanc. a jiné rez. a souvis. čin.",79
Bezpečnostní a pátrací činnosti,80
Činnosti související se stavb. a úpr. krajiny ,81
"Administra-tivní, kanc. a jiné podp. činn. pro podnikání",82
Veř. správa a obrana; povinné soc. zab.,84
Vzdělávání,85
Zdravotní péče,86
Pobytové služby sociální péče,87
Ambulantní nebo terénní soc. služby,88
"Tvůrčí, umělecké a zábavní činnosti",90
"Činnosti knihoven, archivů, muzeí a jin. kult. zař.",91
"Činn. heren, kasin a sáz. kanceláří",92
"Sportovní, zábavní a rekreační činnosti",93
Činn. org. sdruž. osoby za účelem. prosazování spol. zájmů,94
Opravy počítačů a výr. pro os. potřebu a převážně pro domácnost,95
Poskytování ostatních osobních služeb; činn. dom. jako zaměstnav. dom. pers.; činn. dom. produk. blíže neurčené výr. a služby pro vl. potřebu; činnosti exteritoriál-ních org. a orgánů,96+97+98+99
